long,lat,order,hole,piece,id,group
104.46388999,36.00001101,1,FALSE,1,62010000,62010000.1
104.46707,35.99673501,2,FALSE,1,62010000,62010000.1
104.46850999,35.99221401,3,FALSE,1,62010000,62010000.1
104.46545,35.989437,4,FALSE,1,62010000,62010000.1
104.46151999,35.98802601,5,FALSE,1,62010000,62010000.1
104.45617,35.98683201,6,FALSE,1,62010000,62010000.1
104.44996999,35.98585899,7,FALSE,1,62010000,62010000.1
104.44518001,35.985126,8,FALSE,1,62010000,62010000.1
104.44183001,35.98257399,9,FALSE,1,62010000,62010000.1
104.43934,35.97934701,10,FALSE,1,62010000,62010000.1
104.43712999,35.97566199,11,FALSE,1,62010000,62010000.1
104.43352999,35.97105,12,FALSE,1,62010000,62010000.1
104.43134001,35.96644599,13,FALSE,1,62010000,62010000.1
104.42887999,35.96092599,14,FALSE,1,62010000,62010000.1
104.42949999,35.95681401,15,FALSE,1,62010000,62010000.1
104.42843,35.95267899,16,FALSE,1,62010000,62010000.1
104.42707001,35.94877599,17,FALSE,1,62010000,62010000.1
104.42519,35.942802,18,FALSE,1,62010000,62010000.1
104.42494999,35.93936499,19,FALSE,1,62010000,62010000.1
104.42442001,35.93661099,20,FALSE,1,62010000,62010000.1
104.42389999,35.93363199,21,FALSE,1,62010000,62010000.1
104.42396999,35.928822,22,FALSE,1,62010000,62010000.1
104.42488999,35.923794,23,FALSE,1,62010000,62010000.1
104.42613,35.91601899,24,FALSE,1,62010000,62010000.1
104.42675,35.91213201,25,FALSE,1,62010000,62010000.1
104.42908,35.90688699,26,FALSE,1,62010000,62010000.1
104.43113,35.901867,27,FALSE,1,62010000,62010000.1
104.43287999,35.89753299,28,FALSE,1,62010000,62010000.1
104.43465001,35.89205601,29,FALSE,1,62010000,62010000.1
104.43443999,35.88678699,30,FALSE,1,62010000,62010000.1
104.43477999,35.883354,31,FALSE,1,62010000,62010000.1
104.43312999,35.87990199,32,FALSE,1,62010000,62010000.1
104.43149999,35.87599599,33,FALSE,1,62010000,62010000.1
104.42957999,35.87185299,34,FALSE,1,62010000,62010000.1
104.42684,35.866104,35,FALSE,1,62010000,62010000.1
104.42352,35.86171701,36,FALSE,1,62010000,62010000.1
104.42188,35.85849801,37,FALSE,1,62010000,62010000.1
104.41911001,35.855724,38,FALSE,1,62010000,62010000.1
104.41661,35.85272199,39,FALSE,1,62010000,62010000.1
104.41525,35.84950299,40,FALSE,1,62010000,62010000.1
104.41193,35.84534799,41,FALSE,1,62010000,62010000.1
104.40915002,35.84257101,42,FALSE,1,62010000,62010000.1
104.40524001,35.83955799,43,FALSE,1,62010000,62010000.1
104.40275999,35.83586901,44,FALSE,1,62010000,62010000.1
104.40082999,35.833332,45,FALSE,1,62010000,62010000.1
104.39862001,35.83010499,46,FALSE,1,62010000,62010000.1
104.39672,35.82527499,47,FALSE,1,62010000,62010000.1
104.39735001,35.820702,48,FALSE,1,62010000,62010000.1
104.39741,35.816811,49,FALSE,1,62010000,62010000.1
104.39774,35.81337699,50,FALSE,1,62010000,62010000.1
104.39668001,35.808327,51,FALSE,1,62010000,62010000.1
104.39646,35.80443201,52,FALSE,1,62010000,62010000.1
104.39568001,35.80030101,53,FALSE,1,62010000,62010000.1
104.39434001,35.79525,54,FALSE,1,62010000,62010000.1
104.39298002,35.79180099,55,FALSE,1,62010000,62010000.1
104.38994999,35.787651,56,FALSE,1,62010000,62010000.1
104.38888,35.783745,57,FALSE,1,62010000,62010000.1
104.38755,35.77823601,58,FALSE,1,62010000,62010000.1
104.38535999,35.77409001,59,FALSE,1,62010000,62010000.1
104.38399999,35.77064499,60,FALSE,1,62010000,62010000.1
104.38207998,35.76741801,61,FALSE,1,62010000,62010000.1
104.38155,35.76557901,62,FALSE,1,62010000,62010000.1
104.37707999,35.76301599,63,FALSE,1,62010000,62010000.1
104.37234,35.75976201,64,FALSE,1,62010000,62010000.1
104.36957001,35.75721399,65,FALSE,1,62010000,62010000.1
104.36508,35.75602299,66,FALSE,1,62010000,62010000.1
104.36229002,35.75462001,67,FALSE,1,62010000,62010000.1
104.36009,35.750706,68,FALSE,1,62010000,62010000.1
104.35872001,35.748402,69,FALSE,1,62010000,62010000.1
104.35820999,35.744961,70,FALSE,1,62010000,62010000.1
104.35291,35.741703,71,FALSE,1,62010000,62010000.1
104.34814001,35.74073799,72,FALSE,1,62010000,62010000.1
104.34424001,35.73840699,73,FALSE,1,62010000,62010000.1
104.34033,35.735847,74,FALSE,1,62010000,62010000.1
104.33698001,35.73421101,75,FALSE,1,62010000,62010000.1
104.33308,35.732109,76,FALSE,1,62010000,62010000.1
104.32918999,35.72909199,77,FALSE,1,62010000,62010000.1
104.32528999,35.725845,78,FALSE,1,62010000,62010000.1
104.32337001,35.72261799,79,FALSE,1,62010000,62010000.1
104.32258999,35.71848699,80,FALSE,1,62010000,62010000.1
104.32067999,35.71503099,81,FALSE,1,62010000,62010000.1
104.32161999,35.708397,82,FALSE,1,62010000,62010000.1
104.32168998,35.70404799,83,FALSE,1,62010000,62010000.1
104.32458999,35.698353,84,FALSE,1,62010000,62010000.1
104.32857999,35.69495799,85,FALSE,1,62010000,62010000.1
104.33199001,35.69316099,86,FALSE,1,62010000,62010000.1
104.3351,35.69227599,87,FALSE,1,62010000,62010000.1
104.33765,35.69070099,88,FALSE,1,62010000,62010000.1
104.34132,35.68982301,89,FALSE,1,62010000,62010000.1
104.34470999,35.68871301,90,FALSE,1,62010000,62010000.1
104.34923,35.68761099,91,FALSE,1,62010000,62010000.1
104.35232999,35.68695399,92,FALSE,1,62010000,62010000.1
104.35657999,35.68494,93,FALSE,1,62010000,62010000.1
104.36167001,35.68293,94,FALSE,1,62010000,62010000.1
104.36565001,35.679993,95,FALSE,1,62010000,62010000.1
104.36878999,35.67750501,96,FALSE,1,62010000,62010000.1
104.37079999,35.67477801,97,FALSE,1,62010000,62010000.1
104.37111999,35.672256,98,FALSE,1,62010000,62010000.1
104.37173,35.668602,99,FALSE,1,62010000,62010000.1
104.36954002,35.66514201,100,FALSE,1,62010000,62010000.1
104.36761001,35.662605,101,FALSE,1,62010000,62010000.1
104.36566001,35.660751,102,FALSE,1,62010000,62010000.1
104.36234001,35.65751301,103,FALSE,1,62010000,62010000.1
104.35674001,35.655624,104,FALSE,1,62010000,62010000.1
104.35226,35.65443,105,FALSE,1,62010000,62010000.1
104.34917001,35.65462899,106,FALSE,1,62010000,62010000.1
104.34607999,35.65413999,107,FALSE,1,62010000,62010000.1
104.34299,35.654106,108,FALSE,1,62010000,62010000.1
104.33933,35.65407201,109,FALSE,1,62010000,62010000.1
104.33596001,35.65426599,110,FALSE,1,62010000,62010000.1
104.33146,35.65444599,111,FALSE,1,62010000,62010000.1
104.32751,35.654865,112,FALSE,1,62010000,62010000.1
104.32105001,35.65479699,113,FALSE,1,62010000,62010000.1
104.31544001,35.653824,114,FALSE,1,62010000,62010000.1
104.31153001,35.65217601,115,FALSE,1,62010000,62010000.1
104.30704,35.65144299,116,FALSE,1,62010000,62010000.1
104.30231001,35.648643,117,FALSE,1,62010000,62010000.1
104.30011,35.64541599,118,FALSE,1,62010000,62010000.1
104.29876,35.642193,119,FALSE,1,62010000,62010000.1
104.29881999,35.63829801,120,FALSE,1,62010000,62010000.1
104.29861001,35.63394501,121,FALSE,1,62010000,62010000.1
104.29726002,35.630268,122,FALSE,1,62010000,62010000.1
104.29676,35.62636899,123,FALSE,1,62010000,62010000.1
104.29653999,35.622471,124,FALSE,1,62010000,62010000.1
104.29463998,35.61809901,125,FALSE,1,62010000,62010000.1
104.29446,35.61191199,126,FALSE,1,62010000,62010000.1
104.29396998,35.60709801,127,FALSE,1,62010000,62010000.1
104.29317,35.60479701,128,FALSE,1,62010000,62010000.1
104.29240001,35.59997901,129,FALSE,1,62010000,62010000.1
104.29106001,35.595615,130,FALSE,1,62010000,62010000.1
104.29029999,35.59056501,131,FALSE,1,62010000,62010000.1
104.28922,35.587578,132,FALSE,1,62010000,62010000.1
104.28560999,35.58501801,133,FALSE,1,62010000,62010000.1
104.28115001,35.58290901,134,FALSE,1,62010000,62010000.1
104.27695,35.581947,135,FALSE,1,62010000,62010000.1
104.27249999,35.57960901,136,FALSE,1,62010000,62010000.1
104.26549999,35.57838801,137,FALSE,1,62010000,62010000.1
104.26156999,35.577888,138,FALSE,1,62010000,62010000.1
104.2568,35.57783499,139,FALSE,1,62010000,62010000.1
104.2506,35.57868201,140,FALSE,1,62010000,62010000.1
104.24666999,35.578869,141,FALSE,1,62010000,62010000.1
104.24298,35.58088701,142,FALSE,1,62010000,62010000.1
104.23932,35.58130599,143,FALSE,1,62010000,62010000.1
104.23479999,35.58263001,144,FALSE,1,62010000,62010000.1
104.23000001,35.58463701,145,FALSE,1,62010000,62010000.1
104.22743,35.58666999,146,FALSE,1,62010000,62010000.1
104.22513,35.59030899,147,FALSE,1,62010000,62010000.1
104.22366998,35.59327299,148,FALSE,1,62010000,62010000.1
104.22224,35.59485999,149,FALSE,1,62010000,62010000.1
104.22160999,35.598747,150,FALSE,1,62010000,62010000.1
104.22128999,35.601261,151,FALSE,1,62010000,62010000.1
104.22095999,35.604237,152,FALSE,1,62010000,62010000.1
104.21638999,35.608536,153,FALSE,1,62010000,62010000.1
104.21303999,35.60781099,154,FALSE,1,62010000,62010000.1
104.20998,35.60571699,155,FALSE,1,62010000,62010000.1
104.20494001,35.60428599,156,FALSE,1,62010000,62010000.1
104.20215999,35.60310699,157,FALSE,1,62010000,62010000.1
104.19879,35.60261199,158,FALSE,1,62010000,62010000.1
104.19790999,35.60511801,159,FALSE,1,62010000,62010000.1
104.19729002,35.60832201,160,FALSE,1,62010000,62010000.1
104.19779,35.61175899,161,FALSE,1,62010000,62010000.1
104.19944,35.614071,162,FALSE,1,62010000,62010000.1
104.19969001,35.61590601,163,FALSE,1,62010000,62010000.1
104.19965001,35.61819501,164,FALSE,1,62010000,62010000.1
104.19986999,35.62163499,165,FALSE,1,62010000,62010000.1
104.19813,35.62505001,166,FALSE,1,62010000,62010000.1
104.19640001,35.62777701,167,FALSE,1,62010000,62010000.1
104.19411,35.63027199,168,FALSE,1,62010000,62010000.1
104.19236001,35.63369001,169,FALSE,1,62010000,62010000.1
104.19089999,35.63733699,170,FALSE,1,62010000,62010000.1
104.18918,35.63914899,171,FALSE,1,62010000,62010000.1
