lambda,epsilon,rho0r3,rho0r4,rho0.5r3,rho0.5r4
0.8,0.2,18,31,13,16
0.8,0.3,38,54,26,32
0.8,0.4,54,73,31,39
0.8,0.5,58,78,34,50
0.9,0.2,39,53,30,34
0.9,0.3,77,95,51,59
0.9,0.4,98,119,68,78
0.9,0.5,115,147,73,93
